,DATE,afghanistan,afrique du sud,algérie,allemagne,angola,arabie,argentine,australie,autriche,belgique,birmanie,bolivie,bosnieherzégovine,brésil,bulgarie,cambodge,canada,chili,chine,colombie,corée,costa rica,côte d’ivoire,croatie,cuba,danemark,égypte,émirats arabes unis,équateur,espagne,étatsunis,éthiopie,finlande,france,grèce,guatemala,haïti,honduras,hongrie,inde,indonésie,irak,iran,irlande,islande,israël,italie,jamaïque,japon,jordanie,kosovo,koweït,laos,liban,libye,maroc,mexique,monaco,nicaragua,nigéria,norvège,nouvellezélande,ouganda,pakistan,panama,palestine,paraguay,paysbas,pérou,philippines,pologne,portugal,qatar,congo,tchécoslovaquie,roumanie,royaumeuni,russie,salvador,rwanda,sénégal,serbie,singapour,slovaquie,somalie,soudan,sri lanka,suède,suisse,syrie,tadjikistan,taïwan,thaïlande,timororiental,tunisie,turquie,ukraine,uruguay,venezuela,vietnam,yémen,république tchèque,yougoslavie,urss,NbEditions
634,01/1965,0,0,2,15,0,0,0,1,2,20,1,1,0,4,2,0,774,8,75,8,4,0,0,0,8,1,0,0,0,1,2,0,3,124,8,0,6,1,7,6,0,0,2,5,1,5,13,6,15,2,0,0,19,4,0,1,13,2,0,4,3,3,0,7,13,2,0,3,3,0,6,5,0,24,4,14,7,10,1,0,4,0,1,0,0,0,0,6,20,4,1,0,3,0,0,6,1,0,1,33,1,0,3,3,24
635,02/1965,2,0,8,13,2,0,3,0,3,8,0,2,0,20,3,1,637,10,67,27,8,0,0,0,11,1,0,0,0,1,2,0,2,158,8,0,0,1,0,3,0,0,3,0,0,21,12,2,13,3,0,0,16,4,0,5,17,1,0,1,6,1,1,7,6,0,0,1,1,1,11,11,0,17,6,5,5,14,0,1,4,0,1,0,1,2,0,7,22,1,0,0,2,0,2,3,0,0,2,87,1,0,2,8,24
636,03/1965,1,0,3,28,0,1,1,2,9,8,0,0,0,11,1,3,906,17,80,11,4,0,0,0,9,4,0,0,0,5,0,0,14,194,12,2,0,0,8,1,1,0,5,3,0,19,17,2,13,2,0,0,5,3,1,3,10,2,0,0,9,2,0,3,2,2,1,5,2,1,11,1,0,10,7,8,2,26,1,7,2,0,0,0,0,10,0,28,17,1,0,0,2,0,3,4,1,0,1,106,0,0,4,8,27
637,04/1965,0,0,2,15,0,0,0,7,4,12,0,0,0,11,1,19,687,12,72,12,4,0,0,0,6,1,0,0,0,4,3,0,0,169,8,0,2,1,2,3,0,0,1,1,0,12,11,1,13,3,0,0,3,2,1,2,5,2,0,0,3,0,0,22,0,1,0,4,1,3,15,0,0,5,4,2,11,11,1,0,1,0,0,0,0,0,0,3,17,5,0,0,4,0,11,13,0,0,9,114,0,0,2,3,26
638,05/1965,3,0,0,12,0,0,0,1,3,11,0,4,0,8,7,9,797,6,45,9,7,0,0,0,11,1,0,0,0,4,3,0,2,200,16,0,3,0,5,7,1,0,11,1,0,7,23,3,34,6,0,0,5,8,0,3,10,1,3,0,3,1,0,13,6,1,1,6,2,7,3,2,0,11,2,13,10,19,1,0,3,0,0,0,0,0,0,11,19,5,0,0,2,0,3,16,1,3,6,63,0,0,2,11,26
639,06/1965,0,0,5,12,1,0,0,6,5,11,0,6,0,6,1,9,849,6,76,21,10,0,0,0,7,2,0,0,0,8,2,0,2,141,8,0,1,0,3,8,0,1,3,0,0,10,22,5,14,2,0,0,6,6,2,7,6,0,0,0,6,0,1,10,0,3,1,3,3,2,3,3,0,6,4,2,4,15,0,0,1,0,0,0,0,1,0,7,15,4,0,0,3,0,4,2,0,0,3,93,1,0,5,2,26
640,07/1965,0,0,8,15,3,1,1,3,4,18,0,0,0,5,1,1,639,24,39,17,5,0,0,0,13,2,0,0,0,4,3,0,3,198,12,0,0,0,6,6,0,0,2,1,0,11,17,0,16,0,0,0,5,2,0,3,8,0,0,0,0,2,0,6,1,0,0,1,3,3,4,3,0,9,2,6,5,7,0,0,1,0,1,0,0,3,0,2,18,4,0,0,3,0,2,1,0,0,0,122,1,0,2,4,27
641,08/1965,0,0,11,18,0,5,3,1,0,12,2,1,0,15,1,2,680,7,73,23,4,0,0,0,5,1,0,0,0,6,0,0,2,120,8,2,0,0,4,12,1,0,1,0,0,2,13,1,35,0,0,0,5,2,0,3,7,5,0,1,1,2,1,19,1,0,0,3,3,0,5,5,0,6,9,1,2,27,0,0,0,0,24,0,0,1,0,10,22,0,0,0,3,0,0,3,0,0,2,124,8,0,4,1,26
642,09/1965,0,0,2,19,0,0,2,1,4,13,0,1,0,14,1,1,669,2,105,18,1,0,0,0,4,3,0,0,0,7,0,0,2,132,9,0,0,0,4,20,0,4,4,1,0,4,20,0,23,4,0,0,2,2,0,6,10,3,2,0,2,1,0,110,9,4,0,4,2,1,10,3,0,5,1,5,2,10,0,0,2,0,2,0,0,2,0,9,10,0,0,0,1,0,5,2,0,1,0,50,0,0,1,11,26
643,10/1965,0,0,2,13,0,0,1,2,1,20,0,0,0,6,0,6,818,3,87,22,4,0,0,0,13,7,0,0,0,8,1,0,0,147,6,0,0,1,1,9,8,0,4,3,0,3,13,0,18,0,0,1,8,2,0,1,16,5,0,0,1,0,1,29,5,1,0,3,2,0,3,1,0,11,2,1,4,12,4,1,2,0,3,0,0,1,0,3,13,0,0,0,1,0,3,3,0,1,1,43,0,0,4,8,26
